Leaderboard Rank Correlation Analysis Exam-Qrels
run_dir	data/dl19/dl19runs
method	min_rating	trec_eval_metric	spearman	kendall
QuestionSelfRatedUnanswerablePromptWithChoices.qrel	1	ndcg_cut.10	0.961	0.848
QuestionSelfRatedUnanswerablePromptWithChoices.qrel	3	ndcg_cut.10	0.961	0.848
QuestionSelfRatedUnanswerablePromptWithChoices.qrel	4	ndcg_cut.10	0.961	0.848
QuestionSelfRatedUnanswerablePromptWithChoices.qrel	5	ndcg_cut.10	0.961	0.848
NuggetSelfRatedPrompt.qrel	1	ndcg_cut.10	0.969	0.856
NuggetSelfRatedPrompt.qrel	3	ndcg_cut.10	0.969	0.856
NuggetSelfRatedPrompt.qrel	4	ndcg_cut.10	0.969	0.856
NuggetSelfRatedPrompt.qrel	5	ndcg_cut.10	0.969	0.856
Thomas.qrel	1	ndcg_cut.10	0.960	0.833
Thomas.qrel	3	ndcg_cut.10	0.960	0.833
Thomas.qrel	4	ndcg_cut.10	0.960	0.833
Thomas.qrel	5	ndcg_cut.10	0.960	0.833
FagB.qrel	1	ndcg_cut.10	0.968	0.875
FagB.qrel	3	ndcg_cut.10	0.968	0.875
FagB.qrel	4	ndcg_cut.10	0.968	0.875
FagB.qrel	5	ndcg_cut.10	0.968	0.875
FagB_few.qrel	1	ndcg_cut.10	0.979	0.885
FagB_few.qrel	3	ndcg_cut.10	0.979	0.885
FagB_few.qrel	4	ndcg_cut.10	0.979	0.885
FagB_few.qrel	5	ndcg_cut.10	0.979	0.885
HELM.qrel	1	ndcg_cut.10	0.962	0.851
HELM.qrel	3	ndcg_cut.10	0.962	0.851
HELM.qrel	4	ndcg_cut.10	0.962	0.851
HELM.qrel	5	ndcg_cut.10	0.962	0.851
Sun.qrel	1	ndcg_cut.10	0.948	0.828
Sun.qrel	3	ndcg_cut.10	0.948	0.828
Sun.qrel	4	ndcg_cut.10	0.948	0.828
Sun.qrel	5	ndcg_cut.10	0.948	0.828
Sun_few.qrel	1	ndcg_cut.10	0.979	0.894
Sun_few.qrel	3	ndcg_cut.10	0.979	0.894
Sun_few.qrel	4	ndcg_cut.10	0.979	0.894
Sun_few.qrel	5	ndcg_cut.10	0.979	0.894
QuestionSelfRatedUnanswerablePromptWithChoices.qrel	1	map	0.440	0.331
QuestionSelfRatedUnanswerablePromptWithChoices.qrel	3	map	0.418	0.322
QuestionSelfRatedUnanswerablePromptWithChoices.qrel	4	map	0.467	0.362
QuestionSelfRatedUnanswerablePromptWithChoices.qrel	5	map	0.882	0.746
NuggetSelfRatedPrompt.qrel	1	map	-0.152	-0.089
NuggetSelfRatedPrompt.qrel	3	map	0.057	0.078
NuggetSelfRatedPrompt.qrel	4	map	0.355	0.308
NuggetSelfRatedPrompt.qrel	5	map	0.858	0.698
Thomas.qrel	1	map	0.341	0.254
Thomas.qrel	3	map	0.140	0.074
Thomas.qrel	4	map	0.047	0.018
Thomas.qrel	5	map	0.514	0.414
FagB.qrel	1	map	0.864	0.711
FagB.qrel	3	map	nan	nan
FagB.qrel	4	map	nan	nan
FagB.qrel	5	map	nan	nan
FagB_few.qrel	1	map	0.859	0.721
FagB_few.qrel	3	map	nan	nan
FagB_few.qrel	4	map	nan	nan
FagB_few.qrel	5	map	nan	nan
HELM.qrel	1	map	0.863	0.701
HELM.qrel	3	map	nan	nan
HELM.qrel	4	map	nan	nan
HELM.qrel	5	map	nan	nan
Sun.qrel	1	map	0.823	0.635
Sun.qrel	3	map	nan	nan
Sun.qrel	4	map	nan	nan
Sun.qrel	5	map	nan	nan
Sun_few.qrel	1	map	0.882	0.752
Sun_few.qrel	3	map	nan	nan
Sun_few.qrel	4	map	nan	nan
Sun_few.qrel	5	map	nan	nan
QuestionSelfRatedUnanswerablePromptWithChoices.qrel	1	recip_rank	0.850	0.679
QuestionSelfRatedUnanswerablePromptWithChoices.qrel	3	recip_rank	0.731	0.551
QuestionSelfRatedUnanswerablePromptWithChoices.qrel	4	recip_rank	0.696	0.517
QuestionSelfRatedUnanswerablePromptWithChoices.qrel	5	recip_rank	0.795	0.599
NuggetSelfRatedPrompt.qrel	1	recip_rank	0.423	0.350
NuggetSelfRatedPrompt.qrel	3	recip_rank	0.526	0.414
NuggetSelfRatedPrompt.qrel	4	recip_rank	0.598	0.455
NuggetSelfRatedPrompt.qrel	5	recip_rank	0.798	0.594
Thomas.qrel	1	recip_rank	0.755	0.590
Thomas.qrel	3	recip_rank	-0.175	-0.141
Thomas.qrel	4	recip_rank	-0.136	-0.117
Thomas.qrel	5	recip_rank	0.514	0.414
FagB.qrel	1	recip_rank	0.810	0.612
FagB.qrel	3	recip_rank	nan	nan
FagB.qrel	4	recip_rank	nan	nan
FagB.qrel	5	recip_rank	nan	nan
FagB_few.qrel	1	recip_rank	0.771	0.558
FagB_few.qrel	3	recip_rank	nan	nan
FagB_few.qrel	4	recip_rank	nan	nan
FagB_few.qrel	5	recip_rank	nan	nan
HELM.qrel	1	recip_rank	0.829	0.625
HELM.qrel	3	recip_rank	nan	nan
HELM.qrel	4	recip_rank	nan	nan
HELM.qrel	5	recip_rank	nan	nan
Sun.qrel	1	recip_rank	0.757	0.529
Sun.qrel	3	recip_rank	nan	nan
Sun.qrel	4	recip_rank	nan	nan
Sun.qrel	5	recip_rank	nan	nan
Sun_few.qrel	1	recip_rank	0.852	0.671
Sun_few.qrel	3	recip_rank	nan	nan
Sun_few.qrel	4	recip_rank	nan	nan
Sun_few.qrel	5	recip_rank	nan	nan


